0.000000	-0.029597
0.002000	0.006374
0.004000	0.005837
0.006000	-0.110430
0.008000	-0.317190
0.010000	-0.475360
0.012000	-0.437350
0.014000	-0.151850
0.016000	0.319710
0.018000	0.846690
0.020000	1.267800
0.022000	1.412000
0.024000	1.154400
0.026000	0.511980
0.028000	-0.325600
0.030000	-1.072200
0.032000	-1.490900
0.034000	-1.503600
0.036000	-1.195500
0.038000	-0.728820
0.040000	-0.253670
0.042000	0.130440
0.044000	0.378840
0.046000	0.487050
0.048000	0.474470
0.050000	0.374400
0.052000	0.232560
0.054000	0.102830
0.056000	0.027988
0.058000	0.018213
0.060000	0.052581
0.062000	0.000000
0.064000	0.000000
0.066000	0.000000
0.068000	0.000000
